slno,year,dtstrict,afso,fps,April_Cards,April_FRice (Kgs),April_Flood Dal (Kgs),April_Flood Onion (Kgs),April_Flood Poil (Kgs),April_Flood Potato (Kgs),April_Flood Rice (Kgs),April_Flood Sugar HK (Kgs),April_Jowar (Kgs),April_RG Dal One kg Pkt (Kgs),April_Raagi (Kgs),April_SUGAR HALF KG (Kgs),April_WM Atta Pkt (Kgs),April_Whole Wheat Atta (Kgs),February_Cards,February_FRice (Kgs),February_Flood Dal (Kgs),February_Flood Onion (Kgs),February_Flood Poil (Kgs),February_Flood Potato (Kgs),February_Flood Rice (Kgs),February_Flood Sugar HK (Kgs),February_Jowar (Kgs),February_RG Dal One kg Pkt (Kgs),February_Raagi (Kgs),February_SUGAR HALF KG (Kgs),February_WM Atta Pkt (Kgs),February_Whole Wheat Atta (Kgs),January_Cards,January_FRice (Kgs),January_Flood Dal (Kgs),January_Flood Onion (Kgs),January_Flood Poil (Kgs),January_Flood Potato (Kgs),January_Flood Rice (Kgs),January_Flood Sugar HK (Kgs),January_Jowar (Kgs),January_RG Dal One kg Pkt (Kgs),January_Raagi (Kgs),January_SUGAR HALF KG (Kgs),January_WM Atta Pkt (Kgs),January_Whole Wheat Atta (Kgs),March_Cards,March_FRice (Kgs),March_Flood Dal (Kgs),March_Flood Onion (Kgs),March_Flood Poil (Kgs),March_Flood Potato (Kgs),March_Flood Rice (Kgs),March_Flood Sugar HK (Kgs),March_Jowar (Kgs),March_RG Dal One kg Pkt (Kgs),March_Raagi (Kgs),March_SUGAR HALF KG (Kgs),March_WM Atta Pkt (Kgs),March_Whole Wheat Atta (Kgs)
1,2026,Annamayya,B Kothakota,1005001,727,11750.00,0,0,0,0,0,0,270.00,0,0,712.00,0,0,662,10795.00,0,0,0,0,0,0,0,0,0,696.00,0,0,701,11703.00,0,0,0,0,0,0,0,0,12.00,736.00,0,0,718,11785.00,0,0,0,0,0,0,30.00,0,15.00,743.00,0,0
2,2026,Annamayya,B Kothakota,1005002,844,13940.00,0,0,0,0,0,0,750.00,0,0,888.00,0,0,862,13994.00,0,0,0,0,0,0,0,0,1000.00,889.00,0,0,834,13990.00,0,0,0,0,0,0,0,0,500.00,889.00,0,0,821,13985.00,0,0,0,0,0,0,300.00,0,0,884.00,0,0
3,2026,Annamayya,B Kothakota,1005003,720,12199.00,0,0,0,0,0,0,283.00,0,0,629.00,0,0,748,12213.00,0,0,0,0,0,0,0,0,800.00,760.00,0,0,740,12219.00,0,0,0,0,0,0,0,0,700.00,760.00,0,0,707,12220.00,0,0,0,0,0,0,215.00,0,0,755.00,0,0
4,2026,Annamayya,B Kothakota,1005004,778,12995.00,0,0,0,0,0,0,750.00,0,0,809.00,0,0,813,13103.00,0,0,0,0,0,0,0,0,1000.00,814.00,0,0,768,13105.00,0,0,0,0,0,0,0,0,500.00,814.00,0,0,755,13100.00,0,0,0,0,0,0,300.00,0,0,814.00,0,0
5,2026,Annamayya,B Kothakota,1005005,737,12900.00,0,0,0,0,0,0,0,0,0,698.00,0,0,750,12861.00,0,0,0,0,0,0,0,0,600.00,808.00,0,0,738,12968.00,0,0,0,0,0,0,0,0,500.00,798.00,0,0,716,12965.00,0,0,0,0,0,0,0,0,0,788.00,0,0
6,2026,Annamayya,B Kothakota,1005006,689,11190.00,0,0,0,0,0,0,500.00,0,0,508.00,0,0,692,11245.00,0,0,0,0,0,0,0,0,1000.00,682.00,0,0,653,10511.00,0,0,0,0,0,0,0,0,1000.00,682.00,0,0,652,11250.00,0,0,0,0,0,0,300.00,0,0,276.00,0,0
7,2026,Annamayya,B Kothakota,1005007,818,12675.00,0,0,0,0,0,0,1000.00,0,0,731.00,0,0,788,12730.00,0,0,0,0,0,0,0,0,800.00,786.00,0,0,818,12730.00,0,0,0,0,0,0,0,0,1000.00,786.00,0,0,787,12724.00,0,0,0,0,0,0,750.00,0,0,786.00,0,0
8,2026,Annamayya,B Kothakota,1005008,437,7245.00,0,0,0,0,0,0,292.00,0,0,310.00,0,0,402,6487.00,0,0,0,0,0,0,0,0,633.00,429.00,0,0,365,5514.00,0,0,0,0,0,0,0,0,804.00,377.00,0,0,439,7305.00,0,0,0,0,0,0,155.00,0,63.00,463.00,0,0
9,2026,Annamayya,B Kothakota,1005009,705,11563.00,0,0,0,0,0,0,300.00,0,0,740.00,0,0,727,11615.00,0,0,0,0,0,0,0,0,800.00,741.00,0,0,712,11619.00,0,0,0,0,0,0,0,0,500.00,741.00,0,0,702,11590.00,0,0,0,0,0,0,0,0,0,719.00,0,0
10,2026,Annamayya,B Kothakota,1005010,458,8058.00,0,0,0,0,0,0,2.00,0,0,517.00,0,0,442,7605.00,0,0,0,0,0,0,0,0,0,493.00,0,0,466,7678.00,0,0,0,0,0,0,5.00,0,302.00,515.00,0,0,483,8459.00,0,0,0,0,0,0,6.00,0,0,542.00,0,0
