date,year,month,district,mandal,fps_id,commodity,beneficiary_count,demand_kg,stock_allocated_kg,stock_utilized_kg,stock_remaining_kg,price_per_kg_rs,warehouse
2021-01-01,2021,1,Guntur,Rajupalem,FPS-GUN-RAJ-01,Rice,913,4948,5143,5080.0,63.0,1,WH-GUN
2021-01-01,2021,1,Guntur,Rajupalem,FPS-GUN-RAJ-01,Wheat,913,1625,1717,1531.0,186.0,2,WH-GUN
2021-01-01,2021,1,Guntur,Rajupalem,FPS-GUN-RAJ-01,Sugar,913,182,187,158.0,29.0,13,WH-GUN
2021-02-01,2021,2,Guntur,Rajupalem,FPS-GUN-RAJ-01,Rice,895,4698,4288,4041.0,247.0,1,WH-GUN
2021-02-01,2021,2,Guntur,Rajupalem,FPS-GUN-RAJ-01,Wheat,895,1530,1485,1264.0,221.0,2,WH-GUN
2021-02-01,2021,2,Guntur,Rajupalem,FPS-GUN-RAJ-01,Sugar,895,190,188,144.0,44.0,13,WH-GUN
2021-03-01,2021,3,Guntur,Rajupalem,FPS-GUN-RAJ-01,Rice,914,4596,5025,4960.0,65.0,1,WH-GUN
2021-03-01,2021,3,Guntur,Rajupalem,FPS-GUN-RAJ-01,Wheat,914,1529,1434,1220.0,214.0,2,WH-GUN
2021-03-01,2021,3,Guntur,Rajupalem,FPS-GUN-RAJ-01,Sugar,914,153,151,118.0,33.0,13,WH-GUN
2021-04-01,2021,4,Guntur,Rajupalem,FPS-GUN-RAJ-01,Rice,889,4235,4493,3646.0,847.0,1,WH-GUN
2021-04-01,2021,4,Guntur,Rajupalem,FPS-GUN-RAJ-01,Wheat,889,4499,1295,1075.0,220.0,2,WH-GUN
2021-04-01,2021,4,Guntur,Rajupalem,FPS-GUN-RAJ-01,Sugar,889,183,193,124.0,69.0,13,WH-GUN
2021-05-01,2021,5,Guntur,Rajupalem,FPS-GUN-RAJ-01,Rice,908,4185,4325,3862.0,463.0,1,WH-GUN
2021-05-01,2021,5,Guntur,Rajupalem,FPS-GUN-RAJ-01,Wheat,908,1365,1401,1044.0,357.0,2,WH-GUN
2021-05-01,2021,5,Guntur,Rajupalem,FPS-GUN-RAJ-01,Sugar,908,182,179,121.0,58.0,13,WH-GUN
2021-06-01,2021,6,Guntur,Rajupalem,FPS-GUN-RAJ-01,Rice,892,4286,3907,3044.0,863.0,1,WH-GUN
2021-06-01,2021,6,Guntur,Rajupalem,FPS-GUN-RAJ-01,Wheat,892,1434,1450,1179.0,271.0,2,WH-GUN
2021-06-01,2021,6,Guntur,Rajupalem,FPS-GUN-RAJ-01,Sugar,892,148,138,,,13,WH-GUN
2021-07-01,2021,7,Guntur,Rajupalem,FPS-GUN-RAJ-01,Rice,897,4424,4124,3656.0,468.0,1,WH-GUN
2021-07-01,2021,7,Guntur,Rajupalem,FPS-GUN-RAJ-01,Wheat,897,1475,1459,1205.0,254.0,2,WH-GUN
2021-07-01,2021,7,Guntur,Rajupalem,FPS-GUN-RAJ-01,Sugar,897,179,164,106.0,58.0,13,WH-GUN
2021-08-01,2021,8,Guntur,Rajupalem,FPS-GUN-RAJ-01,Rice,907,4481,4271,3527.0,744.0,1,WH-GUN
2021-08-01,2021,8,Guntur,Rajupalem,FPS-GUN-RAJ-01,Wheat,907,1522,1506,1278.0,228.0,2,WH-GUN
2021-08-01,2021,8,Guntur,Rajupalem,FPS-GUN-RAJ-01,Sugar,907,161,151,118.0,33.0,13,WH-GUN
2021-09-01,2021,9,Guntur,Rajupalem,FPS-GUN-RAJ-01,Rice,919,4604,4842,3910.0,932.0,1,WH-GUN
2021-09-01,2021,9,Guntur,Rajupalem,FPS-GUN-RAJ-01,Wheat,919,1491,1516,1244.0,272.0,2,WH-GUN
2021-09-01,2021,9,Guntur,Rajupalem,FPS-GUN-RAJ-01,Sugar,919,193,192,146.0,46.0,13,WH-GUN
2021-10-01,2021,10,Guntur,Rajupalem,FPS-GUN-RAJ-01,Rice,897,4594,4291,3596.0,695.0,1,WH-GUN
2021-10-01,2021,10,Guntur,Rajupalem,FPS-GUN-RAJ-01,Wheat,897,1478,1504,,,2,WH-GUN
2021-10-01,2021,10,Guntur,Rajupalem,FPS-GUN-RAJ-01,Sugar,897,161,147,114.0,33.0,13,WH-GUN
2021-11-01,2021,11,Guntur,Rajupalem,FPS-GUN-RAJ-01,Rice,900,4769,4743,4189.0,554.0,1,WH-GUN
2021-11-01,2021,11,Guntur,Rajupalem,FPS-GUN-RAJ-01,Wheat,900,1618,1598,,,2,WH-GUN
2021-11-01,2021,11,Guntur,Rajupalem,FPS-GUN-RAJ-01,Sugar,900,131,132,103.0,29.0,13,WH-GUN
2021-12-01,2021,12,Guntur,Rajupalem,FPS-GUN-RAJ-01,Rice,919,5024,5252,5157.0,95.0,1,WH-GUN
2021-12-01,2021,12,Guntur,Rajupalem,FPS-GUN-RAJ-01,Wheat,919,1652,1562,,,2,WH-GUN
2021-12-01,2021,12,Guntur,Rajupalem,FPS-GUN-RAJ-01,Sugar,919,190,201,157.0,44.0,13,WH-GUN
2022-01-01,2022,1,Guntur,Rajupalem,FPS-GUN-RAJ-01,Rice,908,4920,4679,4410.0,269.0,1,WH-GUN
2022-01-01,2022,1,Guntur,Rajupalem,FPS-GUN-RAJ-01,Wheat,908,1604,1583,1365.0,218.0,2,WH-GUN
2022-01-01,2022,1,Guntur,Rajupalem,FPS-GUN-RAJ-01,Sugar,908,144,155,126.0,29.0,13,WH-GUN
2022-02-01,2022,2,Guntur,Rajupalem,FPS-GUN-RAJ-01,Rice,925,4817,4695,4241.0,454.0,1,WH-GUN
2022-02-01,2022,2,Guntur,Rajupalem,FPS-GUN-RAJ-01,Wheat,925,1631,1773,1542.0,231.0,2,WH-GUN
2022-02-01,2022,2,Guntur,Rajupalem,FPS-GUN-RAJ-01,Sugar,925,140,131,101.0,30.0,13,WH-GUN
2022-03-01,2022,3,Guntur,Rajupalem,FPS-GUN-RAJ-01,Rice,929,4609,4864,4062.0,802.0,1,WH-GUN
2022-03-01,2022,3,Guntur,Rajupalem,FPS-GUN-RAJ-01,Wheat,929,1509,1362,1105.0,257.0,2,WH-GUN
2022-03-01,2022,3,Guntur,Rajupalem,FPS-GUN-RAJ-01,Sugar,929,128,128,82.0,46.0,13,WH-GUN
2022-04-01,2022,4,Guntur,Rajupalem,FPS-GUN-RAJ-01,Rice,922,4422,4612,3819.0,793.0,1,WH-GUN
2022-04-01,2022,4,Guntur,Rajupalem,FPS-GUN-RAJ-01,Wheat,922,1437,1379,1052.0,327.0,2,WH-GUN
2022-04-01,2022,4,Guntur,Rajupalem,FPS-GUN-RAJ-01,Sugar,922,147,159,,,13,WH-GUN
2022-05-01,2022,5,Guntur,Rajupalem,FPS-GUN-RAJ-01,Rice,935,4320,4009,3063.0,946.0,1,WH-GUN
2022-05-01,2022,5,Guntur,Rajupalem,FPS-GUN-RAJ-01,Wheat,935,1451,1576,1349.0,227.0,2,WH-GUN
2022-05-01,2022,5,Guntur,Rajupalem,FPS-GUN-RAJ-01,Sugar,935,173,159,113.0,46.0,13,WH-GUN
2022-06-01,2022,6,Guntur,Rajupalem,FPS-GUN-RAJ-01,Rice,927,4404,4497,3722.0,775.0,1,WH-GUN
2022-06-01,2022,6,Guntur,Rajupalem,FPS-GUN-RAJ-01,Wheat,927,1433,1396,1050.0,346.0,2,WH-GUN
2022-06-01,2022,6,Guntur,Rajupalem,FPS-GUN-RAJ-01,Sugar,927,204,193,123.0,70.0,13,WH-GUN
2022-07-01,2022,7,Guntur,Rajupalem,FPS-GUN-RAJ-01,Rice,931,4596,4197,4229.0,0.0,1,WH-GUN
2022-07-01,2022,7,Guntur,Rajupalem,FPS-GUN-RAJ-01,Wheat,931,1538,1479,1316.0,163.0,2,WH-GUN
2022-07-01,2022,7,Guntur,Rajupalem,FPS-GUN-RAJ-01,Sugar,931,177,164,117.0,47.0,13,WH-GUN
2022-08-01,2022,8,Guntur,Rajupalem,FPS-GUN-RAJ-01,Rice,899,4473,4073,3595.0,478.0,1,WH-GUN
2022-08-01,2022,8,Guntur,Rajupalem,FPS-GUN-RAJ-01,Wheat,899,1432,1379,1130.0,249.0,2,WH-GUN
2022-08-01,2022,8,Guntur,Rajupalem,FPS-GUN-RAJ-01,Sugar,899,191,178,134.0,44.0,13,WH-GUN
2022-09-01,2022,9,Guntur,Rajupalem,FPS-GUN-RAJ-01,Rice,930,4667,4246,3818.0,428.0,1,WH-GUN
2022-09-01,2022,9,Guntur,Rajupalem,FPS-GUN-RAJ-01,Wheat,930,1545,1648,1259.0,389.0,2,WH-GUN
2022-09-01,2022,9,Guntur,Rajupalem,FPS-GUN-RAJ-01,Sugar,930,189,204,162.0,42.0,13,WH-GUN
2022-10-01,2022,10,Guntur,Rajupalem,FPS-GUN-RAJ-01,Rice,896,4581,4836,4353.0,483.0,1,WH-GUN
2022-10-01,2022,10,Guntur,Rajupalem,FPS-GUN-RAJ-01,Wheat,896,1537,1646,1389.0,257.0,2,WH-GUN
2022-10-01,2022,10,Guntur,Rajupalem,FPS-GUN-RAJ-01,Sugar,896,185,171,133.0,38.0,13,WH-GUN
2022-11-01,2022,11,Guntur,Rajupalem,FPS-GUN-RAJ-01,Rice,920,4890,4759,4074.0,685.0,1,WH-GUN
2022-11-01,2022,11,Guntur,Rajupalem,FPS-GUN-RAJ-01,Wheat,920,1589,1524,1244.0,280.0,2,WH-GUN
2022-11-01,2022,11,Guntur,Rajupalem,FPS-GUN-RAJ-01,Sugar,920,211,212,181.0,31.0,13,WH-GUN
2022-12-01,2022,12,Guntur,Rajupalem,FPS-GUN-RAJ-01,Rice,913,4999,5131,4890.0,241.0,1,WH-GUN
2022-12-01,2022,12,Guntur,Rajupalem,FPS-GUN-RAJ-01,Wheat,913,1689,1754,1478.0,276.0,2,WH-GUN
2022-12-01,2022,12,Guntur,Rajupalem,FPS-GUN-RAJ-01,Sugar,913,225,235,202.0,33.0,13,WH-GUN
2023-01-01,2023,1,Guntur,Rajupalem,FPS-GUN-RAJ-01,Rice,932,5057,5361,4780.0,581.0,1,WH-GUN
2023-01-01,2023,1,Guntur,Rajupalem,FPS-GUN-RAJ-01,Wheat,932,1632,1777,1511.0,266.0,2,WH-GUN
2023-01-01,2023,1,Guntur,Rajupalem,FPS-GUN-RAJ-01,Sugar,932,145,146,120.0,26.0,13,WH-GUN
2023-02-01,2023,2,Guntur,Rajupalem,FPS-GUN-RAJ-01,Rice,909,4793,5079,4711.0,368.0,1,WH-GUN
2023-02-01,2023,2,Guntur,Rajupalem,FPS-GUN-RAJ-01,Wheat,909,1581,1460,1213.0,247.0,2,WH-GUN
2023-02-01,2023,2,Guntur,Rajupalem,FPS-GUN-RAJ-01,Sugar,909,174,183,151.0,32.0,13,WH-GUN
2023-03-01,2023,3,Guntur,Rajupalem,FPS-GUN-RAJ-01,Rice,934,4696,4480,3994.0,486.0,1,WH-GUN
2023-03-01,2023,3,Guntur,Rajupalem,FPS-GUN-RAJ-01,Wheat,934,1581,1469,1193.0,276.0,2,WH-GUN
2023-03-01,2023,3,Guntur,Rajupalem,FPS-GUN-RAJ-01,Sugar,934,194,196,161.0,35.0,13,WH-GUN
2023-04-01,2023,4,Guntur,Rajupalem,FPS-GUN-RAJ-01,Rice,922,4440,4872,4118.0,754.0,1,WH-GUN
2023-04-01,2023,4,Guntur,Rajupalem,FPS-GUN-RAJ-01,Wheat,922,1463,1565,1275.0,290.0,2,WH-GUN
2023-04-01,2023,4,Guntur,Rajupalem,FPS-GUN-RAJ-01,Sugar,922,162,146,101.0,45.0,13,WH-GUN
2023-05-01,2023,5,Guntur,Rajupalem,FPS-GUN-RAJ-01,Rice,931,4327,4277,3157.0,1120.0,1,WH-GUN
2023-05-01,2023,5,Guntur,Rajupalem,FPS-GUN-RAJ-01,Wheat,931,1414,1303,1011.0,292.0,2,WH-GUN
2023-05-01,2023,5,Guntur,Rajupalem,FPS-GUN-RAJ-01,Sugar,931,176,162,116.0,46.0,13,WH-GUN
2023-06-01,2023,6,Guntur,Rajupalem,FPS-GUN-RAJ-01,Rice,917,4327,4670,,,1,WH-GUN
2023-06-01,2023,6,Guntur,Rajupalem,FPS-GUN-RAJ-01,Wheat,917,1455,1535,1181.0,354.0,2,WH-GUN
2023-06-01,2023,6,Guntur,Rajupalem,FPS-GUN-RAJ-01,Sugar,917,142,127,88.0,39.0,13,WH-GUN
2023-07-01,2023,7,Guntur,Rajupalem,FPS-GUN-RAJ-01,Rice,934,4624,4947,3899.0,1048.0,1,WH-GUN
2023-07-01,2023,7,Guntur,Rajupalem,FPS-GUN-RAJ-01,Wheat,934,1542,1625,1282.0,343.0,2,WH-GUN
2023-07-01,2023,7,Guntur,Rajupalem,FPS-GUN-RAJ-01,Sugar,934,164,151,105.0,46.0,13,WH-GUN
2023-08-01,2023,8,Guntur,Rajupalem,FPS-GUN-RAJ-01,Rice,906,4493,4183,3469.0,714.0,1,WH-GUN
2023-08-01,2023,8,Guntur,Rajupalem,FPS-GUN-RAJ-01,Wheat,906,1495,1557,1236.0,321.0,2,WH-GUN
2023-08-01,2023,8,Guntur,Rajupalem,FPS-GUN-RAJ-01,Sugar,906,166,150,103.0,47.0,13,WH-GUN
2023-09-01,2023,9,Guntur,Rajupalem,FPS-GUN-RAJ-01,Rice,907,4532,4245,3607.0,638.0,1,WH-GUN
2023-09-01,2023,9,Guntur,Rajupalem,FPS-GUN-RAJ-01,Wheat,907,1471,1511,1271.0,240.0,2,WH-GUN
2023-09-01,2023,9,Guntur,Rajupalem,FPS-GUN-RAJ-01,Sugar,907,145,147,107.0,40.0,13,WH-GUN
